Balancing,Kappa,Dataset,F-Measure,FN,FP,Classifier,# Training Releases,Test Defective %,AUC,Feature Selection,Sensitivity,Accuracy,Precision,FP Rate,Training Defective %,TN,Recall,Training %,TP,TP Rate,Test Release
false,-0.06311333461612499,BOOKKEEPER,0.0,41.0,24.0,NaiveBayes,3.0,0.2,0.47875604555619117,false,false,0.8725490196078431,0.0,0.0511727078891258,0.11447811447811448,445.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,-0.017787418655097323,BOOKKEEPER,0.0,41.0,5.0,IBk,3.0,0.2,0.509594882729211,false,false,0.9098039215686274,0.0,0.010660980810234541,0.11447811447811448,464.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.0,BOOKKEEPER,NaN,41.0,0.0,RandomForest,3.0,0.2,0.6013833272661084,false,false,0.9196078431372549,NaN,0.0,0.11447811447811448,469.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.03481041571493736,BOOKKEEPER,0.049999999999999996,34.0,4.0,NaiveBayes,5.0,0.3327338129496403,0.7261584864272005,false,false,0.9316546762589928,0.2,0.007677543186180422,0.09625390218522373,517.0,0.02857142857142857,0.7756255044390638,1.0,0.02857142857142857,6.0
false,0.34123222748815196,BOOKKEEPER,0.3908045977011494,18.0,35.0,IBk,5.0,0.3327338129496403,0.7349328214971209,false,false,0.9046762589928058,0.3269230769230769,0.0671785028790787,0.09625390218522373,486.0,0.4857142857142857,0.7756255044390638,17.0,0.4857142857142857,6.0
false,0.3712131596984238,BOOKKEEPER,0.4,24.0,9.0,RandomForest,5.0,0.3327338129496403,0.8981902933918289,false,false,0.9406474820143884,0.55,0.01727447216890595,0.09625390218522373,512.0,0.3142857142857143,0.7756255044390638,11.0,0.3142857142857143,6.0
false,-0.016672150926839574,BOOKKEEPER,0.0,19.0,4.0,NaiveBayes,2.0,0.20347394540942929,0.5530427631578947,false,false,0.9429280397022333,0.0,0.010416666666666666,0.16837782340862423,380.0,0.0,0.547191011235955,0.0,0.0,3.0
false,-0.03087885985748189,BOOKKEEPER,0.03448275862068966,18.0,38.0,IBk,2.0,0.20347394540942929,0.45929276315789475,false,false,0.8610421836228288,0.02564102564102564,0.09895833333333333,0.16837782340862423,346.0,0.05263157894736842,0.547191011235955,1.0,0.05263157894736842,3.0
false,0.08747467524728827,BOOKKEEPER,0.13636363636363635,16.0,22.0,RandomForest,2.0,0.20347394540942929,0.6479577850877193,false,false,0.9057071960297766,0.12,0.057291666666666664,0.16837782340862423,362.0,0.15789473684210525,0.547191011235955,3.0,0.15789473684210525,3.0
false,0.247187770406692,BOOKKEEPER,0.2857142857142857,7.0,13.0,NaiveBayes,1.0,0.2720306513409962,0.6705454545454546,false,false,0.9233716475095786,0.23529411764705882,0.052,0.31555555555555553,237.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,0.08058124174372511,BOOKKEEPER,0.14285714285714285,7.0,41.0,IBk,1.0,0.2720306513409962,0.5972727272727273,false,false,0.8160919540229885,0.08888888888888889,0.164,0.31555555555555553,209.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,0.13677042801556424,BOOKKEEPER,0.19047619047619047,7.0,27.0,RandomForest,1.0,0.2720306513409962,0.6381818181818182,false,false,0.8697318007662835,0.12903225806451613,0.108,0.31555555555555553,223.0,0.36363636363636365,0.46296296296296297,4.0,0.36363636363636365,2.0
false,-0.010871042261176323,BOOKKEEPER,0.0,40.0,3.0,NaiveBayes,4.0,0.2774566473988439,0.7005741127348643,false,false,0.9171483622350673,0.0,0.006263048016701462,0.10271041369472182,476.0,0.0,0.7298282144716294,0.0,0.0,5.0
false,0.1811531841652323,BOOKKEEPER,0.25,29.0,37.0,IBk,4.0,0.2774566473988439,0.6132567849686847,false,false,0.8728323699421965,0.22916666666666666,0.07724425887265135,0.10271041369472182,442.0,0.275,0.7298282144716294,11.0,0.275,5.0
false,0.12786744304193232,BOOKKEEPER,0.15686274509803924,36.0,7.0,RandomForest,4.0,0.2774566473988439,0.8217640918580376,false,false,0.9171483622350673,0.36363636363636365,0.014613778705636743,0.10271041369472182,472.0,0.1,0.7298282144716294,4.0,0.1,5.0
false,-0.003842909363577469,BOOKKEEPER,0.0,41.0,1.0,NaiveBayes,3.0,0.2,0.4614904571220552,BestFirst,false,0.9176470588235294,0.0,0.0021321961620469083,0.11447811447811448,468.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,-0.011084076777508304,BOOKKEEPER,0.0,41.0,3.0,IBk,3.0,0.2,0.5131312080711425,BestFirst,false,0.9137254901960784,0.0,0.006396588486140725,0.11447811447811448,466.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,-0.011084076777508304,BOOKKEEPER,0.0,41.0,3.0,RandomForest,3.0,0.2,0.5013521243954444,BestFirst,false,0.9137254901960784,0.0,0.006396588486140725,0.11447811447811448,466.0,0.0,0.6359743040685225,0.0,0.0,4.0
false,0.04757243539545651,BOOKKEEPER,0.05405405405405405,34.0,1.0,NaiveBayes,5.0,0.3327338129496403,0.6869481765834933,BestFirst,false,0.9370503597122303,0.5,0.0019193857965451055,0.09625390218522373,520.0,0.02857142857142857,0.7756255044390638,1.0,0.02857142857142857,6.0
