@relation Train-2-OPENJPA

@attribute Version numeric
@attribute NR numeric
@attribute Size numeric
@attribute 'AVG LOC Added' numeric
@attribute Churn numeric
@attribute 'LOC Added' numeric
@attribute Nauth numeric
@attribute 'Weighted Age' numeric
@attribute 'AVG CHURN' numeric
@attribute 'MAX LOC Added' numeric
@attribute 'LOC TOUCHED' numeric
@attribute Age numeric
@attribute 'Max Churn' numeric
@attribute Buggyness {false,true}

@data
1,7,791,127,791,888,1,13,113,794,985,13,794,false
1,2,232,116,232,232,1,13,116,232,232,13,232,false
1,2,957,478,957,957,1,13,478,957,957,13,957,false
1,2,609,304,609,609,1,13,304,609,609,13,609,false
1,2,166,83,166,166,1,13,83,166,166,13,166,false
1,5,149,59,149,297,1,13,29,150,445,13,142,false
1,4,311,80,311,322,2,13,77,309,333,13,309,false
1,4,49,24,49,97,1,13,12,49,145,13,46,false
1,4,250,124,250,498,1,13,62,251,746,13,241,false
1,5,114,44,114,220,1,13,22,108,326,13,104,false
1,4,33,16,33,64,1,13,8,33,95,13,29,false
1,5,529,207,529,1037,1,13,105,530,1545,13,498,false
1,4,30,14,30,59,1,13,7,30,88,13,27,false
1,4,213,105,213,421,1,13,53,214,629,13,201,false
1,9,625,116,625,1047,1,13,69,711,1469,13,711,false
1,6,52,14,52,87,2,13,8,36,122,13,33,false
1,4,87,43,87,175,1,13,21,88,263,13,83,false
1,4,64,31,64,127,1,13,16,64,190,13,59,false
1,4,31,15,31,61,1,13,7,31,91,13,27,false
1,5,69,27,69,137,1,13,13,70,205,13,63,false
1,4,38,13,38,55,1,13,9,42,72,13,42,false
1,4,79,38,79,155,1,13,19,79,231,13,73,false
1,5,140,32,140,164,2,13,28,138,188,13,138,false
1,3,190,63,190,191,2,13,63,151,192,13,151,false
1,2,1523,761,1523,1523,1,13,761,1523,1523,13,1523,false
1,4,46,22,46,90,1,13,11,46,134,13,41,false
1,2,70,37,70,75,1,13,35,66,80,13,66,false
1,3,430,144,430,432,1,13,143,432,434,13,432,false
1,3,455,155,455,466,2,13,151,457,477,13,457,false
1,4,113,56,113,224,1,13,28,113,335,13,107,false
1,4,262,131,262,524,1,13,65,263,786,13,256,false
1,9,290,70,290,628,2,13,32,305,966,13,283,false
1,4,214,62,214,249,1,13,53,218,284,13,218,false
1,2,100,50,100,100,1,13,50,100,100,13,100,false
1,6,343,96,343,577,1,13,57,386,811,13,386,false
1,2,59,29,59,59,1,13,29,59,59,13,59,false
1,8,130,22,130,180,2,13,16,125,230,13,125,false
1,3,94,33,94,99,2,13,31,94,104,13,94,false
1,2,64,32,64,64,1,13,32,64,64,13,64,false
1,2,43,21,43,43,1,13,21,43,43,13,43,false
1,4,79,22,79,90,2,13,19,79,101,13,79,false
1,5,233,96,233,482,1,13,46,239,731,13,230,false
1,6,116,26,116,155,1,13,19,117,194,13,117,false
1,7,190,40,190,281,2,13,27,217,372,13,217,false
1,5,159,41,159,207,1,13,31,157,255,13,157,false
1,4,36,18,36,72,1,13,9,36,108,13,33,false
1,2,165,82,165,165,1,13,82,165,165,13,165,false
1,2,48,24,48,48,1,13,24,48,48,13,48,false
1,7,322,61,322,428,3,13,46,285,534,13,285,false
1,4,86,43,86,173,1,13,21,87,260,13,82,false
1,2,207,103,207,207,1,13,103,207,207,13,207,false
1,4,1327,333,1327,1334,2,13,331,1334,1341,13,1334,false
1,4,300,156,300,625,1,13,75,300,950,13,296,false
1,2,80,40,80,80,1,13,40,80,80,13,80,false
1,5,119,48,119,241,2,13,23,121,363,13,114,false
1,2,231,115,231,231,1,13,115,231,231,13,231,false
1,2,64,33,64,66,1,13,32,62,68,13,62,false
1,4,135,67,135,270,1,13,33,136,405,13,131,false
1,8,917,233,917,1861,3,13,115,930,2805,13,901,false
1,5,52,21,52,108,1,13,10,54,164,13,50,false
1,2,44,22,44,44,1,13,22,44,44,13,44,false
1,5,69,19,69,96,1,13,13,75,123,13,75,false
1,5,114,43,114,218,1,13,22,107,322,13,102,false
1,4,39,19,39,78,1,13,9,40,117,13,35,false
1,9,423,105,423,948,3,13,47,427,1473,13,416,false
1,4,42,21,42,85,1,13,10,42,128,13,39,false
1,5,120,29,120,147,1,13,24,125,174,13,125,false
1,6,583,192,583,1153,1,13,97,588,1723,13,553,false
1,9,1274,200,1274,1800,1,13,142,1412,2326,13,1412,false
1,8,672,169,672,1354,2,13,84,682,2036,13,644,true
1,3,78,29,78,88,2,13,26,71,98,13,71,false
1,7,653,187,653,1312,2,13,93,666,1971,13,612,true
1,2,33,18,33,36,1,13,16,34,39,13,34,false
1,3,51,17,51,52,2,13,17,51,53,13,51,false
1,6,77,27,77,164,2,13,13,80,251,13,74,false
1,5,70,29,70,146,2,13,14,73,222,13,67,false
1,5,193,81,193,407,1,13,38,205,621,13,187,false
1,2,28,14,28,28,1,13,14,28,28,13,28,false
1,2,341,170,341,341,1,13,170,341,341,13,341,false
1,4,91,26,91,104,2,13,22,91,117,13,91,false
1,5,89,35,89,176,1,13,17,88,263,13,82,false
1,2,52,26,52,52,1,13,26,52,52,13,52,false
1,7,196,43,196,299,1,13,28,206,402,13,206,false
1,5,61,21,61,108,1,13,12,49,155,13,45,false
1,3,58,20,58,61,2,13,19,58,64,13,58,false
1,4,1749,439,1749,1757,1,13,437,1748,1765,13,1748,false
1,4,79,40,79,161,1,13,19,81,243,13,74,false
1,2,93,46,93,93,1,13,46,93,93,13,93,false
1,9,1364,308,1364,2771,3,13,152,1336,4178,13,1324,false
1,4,156,43,156,174,2,13,39,161,192,13,161,false
1,8,614,128,614,1021,1,13,77,754,1428,13,754,false
1,2,124,62,124,124,1,13,62,124,124,13,124,false
1,4,59,32,59,128,1,13,14,64,197,13,58,false
1,5,838,330,838,1650,2,13,167,838,2462,13,800,false
1,4,32,15,32,61,1,13,8,32,90,13,28,false
1,2,32,16,32,32,1,13,16,32,32,13,32,false
1,5,33,10,33,50,1,13,6,32,67,13,32,false
1,9,397,90,397,811,2,13,44,371,1225,13,340,false
1,5,62,26,62,130,1,13,12,66,198,13,61,false
1,4,185,47,185,190,2,13,46,178,195,13,178,false
1,5,64,27,64,136,2,13,12,66,208,13,61,false
1,4,38,18,38,73,1,13,9,38,108,13,34,false
1,6,46,12,46,72,1,13,7,46,98,13,46,false
1,4,35,17,35,69,1,13,8,35,103,13,32,false
1,5,68,28,68,144,2,13,13,69,220,13,65,false
1,6,166,33,166,197,2,13,27,171,228,13,171,false
1,5,90,37,90,188,2,13,18,90,286,13,86,false
1,2,36,18,36,36,1,13,18,36,36,13,36,false
1,4,70,36,70,147,1,13,17,70,224,13,67,false
1,4,40,20,40,80,1,13,10,40,120,13,36,false
1,9,1654,348,1654,3129,2,13,184,1676,4604,13,1440,true
1,14,670,76,670,1067,2,13,48,677,1464,13,677,false
1,4,110,54,110,219,1,13,27,110,328,13,106,false
1,14,1433,211,1433,2956,3,13,103,1427,4479,13,1352,false
1,2,151,75,151,151,1,13,75,151,151,13,151,false
1,2,51,25,51,51,1,13,25,51,51,13,51,false
1,6,182,52,182,311,2,13,30,211,440,13,211,false
1,5,50,18,50,93,1,13,10,44,136,13,40,false
1,9,1556,199,1556,1787,1,13,173,1502,2018,13,1502,false
1,5,91,37,91,186,1,13,18,94,281,13,87,false
1,5,183,74,183,372,1,13,36,187,561,13,175,false
1,7,453,78,453,546,1,13,65,461,639,13,461,false
1,5,29,9,29,45,1,13,5,30,61,13,30,false
1,2,60,30,60,60,1,13,30,60,60,13,60,false
1,4,127,35,127,140,1,13,31,129,153,13,129,false
1,4,47,23,47,95,1,13,11,47,143,13,44,false
1,4,71,20,71,83,2,13,17,72,95,13,72,false
1,7,104,22,104,156,2,13,15,105,208,13,105,false
1,2,34,17,34,34,1,13,17,34,34,13,34,false
1,2,200,100,200,200,1,13,100,200,200,13,200,false
1,7,1455,405,1455,2839,2,13,208,1465,4223,13,1336,false
1,5,133,35,133,177,1,13,26,132,221,13,132,false
1,1,60,60,60,60,1,13,60,60,60,13,60,false
1,2,97,76,97,153,2,13,48,122,209,13,122,false
1,2,160,80,160,160,1,13,80,160,160,13,160,false
1,4,64,31,64,125,1,13,16,64,186,13,58,false
1,6,79,26,79,160,2,13,13,78,241,13,70,false
1,4,212,53,212,215,2,13,53,211,218,13,211,false
1,3,145,49,145,148,2,13,48,144,151,13,144,false
1,2,69,34,69,69,1,13,34,69,69,13,69,false
1,7,242,70,242,490,2,13,34,248,738,13,226,false
1,5,38,11,38,58,1,13,7,37,78,13,37,false
1,2,53,26,53,53,1,13,26,53,53,13,53,false
1,4,79,23,79,94,2,13,19,79,109,13,79,false
1,6,94,23,94,140,1,13,15,114,186,13,114,false
1,3,1010,343,1010,1031,2,13,336,1013,1052,13,1013,false
1,4,49,24,49,97,1,13,12,49,145,13,45,false
1,2,131,65,131,131,1,13,65,131,131,13,131,false
1,2,184,92,184,184,1,13,92,184,184,13,184,false
1,5,845,267,845,1335,1,13,169,1051,1825,13,1051,false
1,2,42,21,42,42,1,13,21,42,42,13,42,false
1,2,95,47,95,95,1,13,47,95,95,13,95,false
1,5,151,42,151,210,1,13,30,163,269,13,163,false
1,6,145,33,145,199,1,13,24,159,253,13,159,false
1,3,174,61,174,183,2,13,58,175,192,13,175,false
1,4,62,30,62,121,1,13,15,62,180,13,56,false
1,6,174,44,174,263,1,13,29,198,352,13,198,false
1,4,133,36,133,147,2,13,33,133,161,13,133,false
1,2,104,52,104,104,1,13,52,104,104,13,104,false
1,5,205,56,205,284,1,13,41,224,363,13,224,false
1,6,139,46,139,278,1,13,23,139,417,13,132,false
1,6,94,31,94,189,2,13,15,91,284,13,84,false
1,2,266,135,266,270,1,13,133,258,274,13,258,false
1,4,50,24,50,99,1,13,12,50,148,13,46,false
1,2,39,19,39,39,1,13,19,39,39,13,39,false
1,6,90,30,90,184,2,13,15,88,278,13,82,false
1,6,246,81,246,490,1,13,41,247,734,13,235,false
1,4,57,33,57,135,1,13,14,65,213,13,52,false
1,5,172,46,172,231,1,13,34,191,290,13,191,false
1,4,72,36,72,144,1,13,18,72,216,13,69,false
1,2,122,61,122,122,1,13,61,122,122,13,122,false
1,5,29,8,29,44,1,13,5,29,59,13,29,false
1,2,403,201,403,403,1,13,201,403,403,13,403,false
1,5,61,28,61,144,2,13,12,66,227,13,61,false
1,10,291,49,291,485,2,13,29,246,679,13,246,false
1,5,174,40,174,204,2,13,34,171,234,13,171,false
1,5,144,42,144,210,1,13,28,160,276,13,160,false
1,3,244,84,244,254,2,13,81,245,264,13,245,false
1,6,279,79,279,474,1,13,46,328,669,13,328,false
1,5,165,39,165,195,2,13,33,163,225,13,163,false
1,4,36,17,36,70,1,13,9,36,104,13,33,false
1,6,81,19,81,118,2,13,13,71,155,13,71,false
1,5,66,28,66,142,2,13,13,68,218,13,64,false
1,4,64,31,64,126,1,13,16,64,188,13,61,false
1,3,61,21,61,65,2,13,20,62,69,13,62,false
1,8,888,232,888,1857,2,13,111,940,2826,13,869,true
1,5,668,147,668,737,1,13,133,674,806,13,674,false
1,4,154,76,154,305,1,13,38,154,456,13,148,false
1,4,37,19,37,76,1,13,9,38,115,13,33,false
1,6,121,27,121,164,2,13,20,106,207,13,106,false
1,4,142,48,142,193,1,13,35,155,244,13,155,false
1,3,46,18,46,56,2,13,15,54,66,13,54,false
1,5,90,24,90,121,1,13,18,84,152,13,84,false
1,7,725,204,725,1430,3,13,103,725,2135,13,688,false
1,4,81,40,81,161,1,13,20,81,241,13,77,false
1,5,39,18,39,92,2,13,7,47,145,13,43,false
1,4,38,14,38,56,1,13,9,41,74,13,41,false
1,6,92,19,92,118,1,13,15,100,144,13,100,false
1,5,74,22,74,112,1,13,14,81,150,13,81,false
1,3,62,22,62,66,2,13,20,66,70,13,66,false
1,4,33,16,33,66,1,13,8,33,99,13,30,false
1,5,199,75,199,378,1,13,39,182,557,13,176,false
1,6,53,14,53,85,1,13,9,55,117,13,55,false
1,5,256,74,256,370,1,13,51,294,484,13,294,false
1,5,769,307,769,1535,1,13,153,775,2301,13,740,false
1,4,48,23,48,95,1,13,12,48,142,13,44,false
1,4,501,248,501,993,1,13,125,502,1485,13,474,false
1,4,37,18,37,72,1,13,9,37,107,13,33,false
1,9,2191,493,2191,4441,2,13,243,2249,6691,13,2108,false
1,4,277,137,277,550,1,13,69,277,823,13,270,false
1,4,44,22,44,88,1,13,11,44,132,13,40,false
1,4,39,19,39,77,1,13,9,39,115,13,35,false
1,4,105,54,105,216,1,13,26,105,327,13,102,false
1,6,87,29,87,178,2,13,14,89,269,13,82,false
1,7,3729,537,3729,3761,2,13,533,3721,3793,13,3721,false
1,4,266,71,266,287,2,13,66,266,308,13,266,false
1,2,45,22,45,45,1,13,22,45,45,13,45,false
